本平台单号,三方单号,会员ID,上层代理,投注日期时间,投注金额,投注币种,派彩金额,派彩日期时间,会员输赢金额,游戏名称,游戏场馆,有效打码
2067196942481223680,2067195445016339969,2066899863253573632,a1760356615,2026-06-17 06:39:35,1,USDT,0,2026-06-17 06:39:35,-1,Mahjong Ways,PG,1
2067196943093592064,2067195447625184769,2066899863253573632,a1760356615,2026-06-17 06:39:35,1,USDT,0,2026-06-17 06:39:36,-1,Mahjong Ways,PG,1
2067196941873049600,2067195450980610049,2066899863253573632,a1760356615,2026-06-17 06:39:36,1,USDT,0,2026-06-17 06:39:36,-1,Mahjong Ways,PG,1
2067196943710154752,2067195453723685888,2066899863253573632,a1760356615,2026-06-17 06:39:37,1,USDT,3.2,2026-06-17 06:39:43,2.2,Mahjong Ways,PG,1
2067196942581886976,2067195489077452800,2066899863253573632,a1760356615,2026-06-17 06:39:45,1,USDT,0,2026-06-17 06:39:46,-1,Mahjong Ways,PG,1
2067196941973712896,2067195491887639552,2066899863253573632,a1760356615,2026-06-17 06:39:46,1,USDT,0,2026-06-17 06:39:46,-1,Mahjong Ways,PG,1
2067196943815012352,2067195494358070784,2066899863253573632,a1760356615,2026-06-17 06:39:47,1,USDT,0,2026-06-17 06:39:47,-1,Mahjong Ways,PG,1
2067196943915675648,2067195497482890752,2066899863253573632,a1760356615,2026-06-17 06:39:47,1,USDT,0,2026-06-17 06:39:48,-1,Mahjong Ways,PG,1
2067196942078570496,2067195500196537857,2066899863253573632,a1760356615,2026-06-17 06:39:48,1,USDT,0,2026-06-17 06:39:48,-1,Mahjong Ways,PG,1
2067196942682550272,2067195503040308224,2066899863253573632,a1760356615,2026-06-17 06:39:49,1,USDT,0.2,2026-06-17 06:39:51,-0.8,Mahjong Ways,PG,1
2067196943194255360,2067195521017094656,2066899863253573632,a1760356615,2026-06-17 06:39:53,1,USDT,0,2026-06-17 06:39:53,-1,Mahjong Ways,PG,1
2067196942787407872,2067195523789542400,2066899863253573632,a1760356615,2026-06-17 06:39:54,1,USDT,3,2026-06-17 06:39:58,2,Mahjong Ways,PG,1
2067197194852495360,2067195550108853761,2066899863253573632,a1760356615,2026-06-17 06:40:00,1,USDT,0,2026-06-17 06:40:00,-1,Mahjong Ways,PG,1
2067197194357567488,2067195552860313601,2066899863253573632,a1760356615,2026-06-17 06:40:01,1,USDT,0,2026-06-17 06:40:01,-1,Mahjong Ways,PG,1
2067197194948964352,2067195555402055168,2066899863253573632,a1760356615,2026-06-17 06:40:01,1,USDT,0.5,2026-06-17 06:40:03,-0.5,Mahjong Ways,PG,1
2067197196526022656,2067195573915734017,2066899863253573632,a1760356615,2026-06-17 06:40:06,1,USDT,8.7,2026-06-17 06:40:10,7.7,Mahjong Ways,PG,1
2067197193183162368,2067195600675329024,2066899863253573632,a1760356615,2026-06-17 06:40:12,1,USDT,0.5,2026-06-17 06:40:14,-0.5,Mahjong Ways,PG,1
2067197193573232640,2067195618203358208,2066899863253573632,a1760356615,2026-06-17 06:40:16,1,USDT,0.3,2026-06-17 06:40:18,-0.7,Mahjong Ways,PG,1
2067197195657801728,2067195635009869824,2066899863253573632,a1760356615,2026-06-17 06:40:20,1,USDT,0,2026-06-17 06:40:20,-1,Mahjong Ways,PG,1
2067197193669701632,2067195637593602560,2066899863253573632,a1760356615,2026-06-17 06:40:21,1,USDT,0,2026-06-17 06:40:21,-1,Mahjong Ways,PG,1
2067197193770364928,2067195640173057536,2066899863253573632,a1760356615,2026-06-17 06:40:21,1,USDT,0,2026-06-17 06:40:22,-1,Mahjong Ways,PG,1
2067197194458230784,2067195642614147072,2066899863253573632,a1760356615,2026-06-17 06:40:22,1,USDT,0,2026-06-17 06:40:22,-1,Mahjong Ways,PG,1
2067197195754270720,2067195645684375041,2066899863253573632,a1760356615,2026-06-17 06:40:23,1,USDT,0,2026-06-17 06:40:23,-1,Mahjong Ways,PG,1
2067197193866833920,2067195648142257664,2066899863253573632,a1760356615,2026-06-17 06:40:23,1,USDT,0,2026-06-17 06:40:23,-1,Mahjong Ways,PG,1
2067197195146096640,2067195651028002305,2066899863253573632,a1760356615,2026-06-17 06:40:24,1,USDT,0,2026-06-17 06:40:24,-1,Mahjong Ways,PG,1
2067197196622491648,2067195653813003776,2066899863253573632,a1760356615,2026-06-17 06:40:25,1,USDT,0,2026-06-17 06:40:25,-1,Mahjong Ways,PG,1
2067197195850739712,2067195656186983936,2066899863253573632,a1760356615,2026-06-17 06:40:25,1,USDT,0,2026-06-17 06:40:25,-1,Mahjong Ways,PG,1
2067197193967497216,2067195658690955264,2066899863253573632,a1760356615,2026-06-17 06:40:26,1,USDT,0,2026-06-17 06:40:26,-1,Mahjong Ways,PG,1
2067197195242565632,2067195661509461504,2066899863253573632,a1760356615,2026-06-17 06:40:26,1,USDT,0,2026-06-17 06:40:27,-1,Mahjong Ways,PG,1
2067197194558894080,2067195664168735744,2066899863253573632,a1760356615,2026-06-17 06:40:27,1,USDT,0,2026-06-17 06:40:27,-1,Mahjong Ways,PG,1
2067197195339034624,2067195666966286848,2066899863253573632,a1760356615,2026-06-17 06:40:28,1,USDT,0.3,2026-06-17 06:40:30,-0.7,Mahjong Ways,PG,1
2067197193082499072,2067195685672934912,2066899863253573632,a1760356615,2026-06-17 06:40:32,1,USDT,0.1,2026-06-17 06:40:34,-0.9,Mahjong Ways,PG,1
2067197194655363072,2067195702420830208,2066899863253573632,a1760356615,2026-06-17 06:40:36,1,USDT,0,2026-06-17 06:40:36,-1,Mahjong Ways,PG,1
2067197194063966208,2067195705318971393,2066899863253573632,a1760356615,2026-06-17 06:40:37,1,USDT,0,2026-06-17 06:40:37,-1,Mahjong Ways,PG,1
2067197195045433344,2067195707919529473,2066899863253573632,a1760356615,2026-06-17 06:40:38,1,USDT,0,2026-06-17 06:40:38,-1,Mahjong Ways,PG,1
2067197196232421376,2067195710771608576,2066899863253573632,a1760356615,2026-06-17 06:40:38,1,USDT,0,2026-06-17 06:40:38,-1,Mahjong Ways,PG,1
2067197196035289088,2067195713560901632,2066899863253573632,a1760356615,2026-06-17 06:40:39,1,USDT,0,2026-06-17 06:40:39,-1,Mahjong Ways,PG,1
2067197195443892224,2067195715888734211,2066899863253573632,a1760356615,2026-06-17 06:40:39,1,USDT,0,2026-06-17 06:40:40,-1,Mahjong Ways,PG,1
2067197193279631360,2067195721278358528,2066899863253573632,a1760356615,2026-06-17 06:40:41,1,USDT,1,2026-06-17 06:40:43,0,Mahjong Ways,PG,1
2067197193376100352,2067195738084922882,2066899863253573632,a1760356615,2026-06-17 06:40:45,1,USDT,0.2,2026-06-17 06:40:47,-0.8,Mahjong Ways,PG,1
2067197195561332736,2067195755625562625,2066899863253573632,a1760356615,2026-06-17 06:40:49,1,USDT,0,2026-06-17 06:40:49,-1,Mahjong Ways,PG,1
2067197196328890368,2067195758439904257,2066899863253573632,a1760356615,2026-06-17 06:40:50,1,USDT,0,2026-06-17 06:40:50,-1,Mahjong Ways,PG,1
2067197194164629504,2067195761296250369,2066899863253573632,a1760356615,2026-06-17 06:40:50,1,USDT,0.7,2026-06-17 06:40:54,-0.3,Mahjong Ways,PG,1
2067197196135952384,2067195787401564160,2066899863253573632,a1760356615,2026-06-17 06:40:57,1,USDT,0,2026-06-17 06:40:57,-1,Mahjong Ways,PG,1
2067197193476763648,2067195791314885120,2066899863253573632,a1760356615,2026-06-17 06:40:57,1,USDT,0,2026-06-17 06:40:58,-1,Mahjong Ways,PG,1
